gene33	gene18	gene23	gene8	gene13	gene24	gene6	gene19	gene99	gene41	gene31	gene0	gene44	gene66	gene30	gene73	gene93	gene25	gene78	gene45	gene70	gene61	gene62	gene36	gene40	gene69	gene81	gene39	gene50	gene90	gene60	gene72	gene59	gene56	gene58	gene7	gene38	gene97	gene1	gene64	gene16	gene89	gene20	gene53	gene27	gene4	gene84	gene83	gene80	gene42	gene21	gene57	gene98	gene46	gene49	gene63	gene2	gene71	gene14	gene74	gene52	gene86	gene95	gene15	gene34	gene5	gene92	gene94	gene11	gene77	gene28	gene75	gene82	gene35	gene96	gene22	gene67	gene26	gene12	gene65	gene76	gene54	gene87	gene32	gene9	gene79	gene85	gene91	gene51	gene37	gene17	gene43	gene68	gene29	gene3	gene47	gene10	gene48	gene88	gene55
58503	57411	42735	41823	48155	50388	55694	57335	40907	28879	52307	69535	62305	42730	68315	44553	50386	63660	38054	39820	47268	56752	59024	48364	45742	20922	44128	42495	41941	38780	46424	49343	53713	53920	35124	42655	37261	69170	51197	32334	38846	40754	62892	51832	65041	65004	60035	60360	55862	61693	49942	51145	37289	43953	59620	57339	45681	38232	54768	53080	60269	56482	57749	52168	43868	32027	55569	52394	32780	58955	51607	52376	51350	52574	38035	55199	25204	47289	58414	39888	59506	56746	51065	49195	56562	56326	62844	56652	59402	56700	59255	44975	49647	23997	34481	33354	42082	52690	55525	51823
53408	55696	43476	51569	49516	50361	64477	53924	45119	25250	53841	65923	67101	49218	70519	48528	43893	62306	37567	43023	44218	45620	62274	54770	41998	25448	54980	40199	38965	42729	33049	58670	57291	51463	43306	39852	47494	50172	45716	34864	44701	36405	62433	44085	68737	60445	55973	49829	66334	60003	52088	38825	34496	42327	63741	57392	38179	48853	56134	49163	58126	60756	51977	51001	36909	38088	44947	57520	30263	56181	42666	45702	45896	49015	53368	45769	26755	44003	64329	42752	48247	45578	53596	44998	56685	53042	70503	59724	59356	42784	62892	35070	51455	41314	42341	28158	46612	49851	58472	56909
58187	60796	49169	56773	48783	53531	62936	54964	49201	30183	53711	70336	69797	53011	72854	51629	44747	61323	30923	43466	44007	41457	59377	58506	37522	22317	60108	45247	38409	39735	33291	67081	63388	51018	49767	35648	49320	50092	47263	33813	43725	35847	64165	38205	73012	60437	57787	45213	63478	59218	49915	36202	39666	42453	66753	56483	28201	46653	59255	52982	60033	65479	53402	43901	43444	39457	43402	58151	27910	53986	41368	44615	46044	46861	54715	45235	25190	42322	62716	40935	47214	48327	58308	47721	61123	45967	74308	59614	51973	45335	62991	33808	48989	44473	47136	31385	46305	47379	51690	58968
54051	58679	45607	46444	54710	52568	59374	52140	46838	30098	49785	69874	69768	55060	69805	51610	46138	60979	33542	38850	49469	47389	64912	57210	41859	22262	53551	46058	41155	45441	31388	60235	53936	52025	51807	35693	42316	54242	52470	34065	49190	36936	59033	43999	67427	59656	55316	48814	60732	68148	50523	44423	41625	45165	59181	59349	37415	46561	61078	51436	59207	58891	56417	51751	38428	43922	48296	56268	23959	57490	44361	44640	49233	52490	51449	46299	27263	41593	59519	42835	47642	49959	54049	45543	56482	49816	65370	57508	60304	47625	61877	30741	43210	39924	45309	32626	50170	45507	53139	56364
56029	56095	43389	38873	54080	48339	55280	53407	44246	24361	50379	68822	60430	45808	69769	53717	47735	59119	37629	38098	42695	49974	63005	48249	44903	23681	43943	40065	39289	39274	39311	56441	48174	48940	43966	39072	49304	53160	49901	39101	41881	40895	56470	54295	63460	63254	48794	53691	55559	59053	48189	52446	36493	46582	55785	56597	44939	47174	58639	46987	58307	54242	60170	50237	34914	40470	45452	50734	36208	52167	43590	47349	46042	53105	50802	42259	31969	46844	65697	45780	55160	52760	52953	42995	53449	56734	69291	58978	65141	49037	62384	36686	43755	36281	40622	31436	53606	48426	53751	48782
51810	55464	42435	49168	50841	51513	64823	58140	42213	25052	50457	65658	71603	54864	68462	50094	40943	62357	35003	41699	46558	48483	66966	57461	46559	25101	52704	39855	43304	48401	31803	54998	58271	51758	48554	36029	46609	52628	47550	33021	50559	31579	64878	45272	65133	61970	56708	53514	62006	62374	54586	43987	36133	47775	64481	60116	38378	47686	59737	45051	57202	61071	52085	53397	34406	42120	45676	61099	28748	59070	47989	45124	48876	49198	52775	48255	25681	44231	61400	44914	48440	43238	57708	46750	53523	50214	66144	62183	58628	42858	59312	35022	47603	39264	41261	30870	44267	52673	55297	61423
56034	59073	44312	42166	56167	45934	52933	48906	49212	25002	52645	71024	59954	47303	69573	51629	48665	59833	36141	34916	46212	49352	65051	54381	39371	22637	49982	46248	38173	39813	29683	60822	45017	48112	50593	35994	46507	47505	53131	37783	42946	42687	51022	47387	67421	58759	47938	47489	60155	64399	45367	48067	41780	42953	54019	54364	41652	46680	60850	49923	56985	51858	59595	49633	36834	46405	48114	51077	28867	54147	39445	46629	44357	53762	56840	39970	34111	44318	64079	39975	49523	52106	51904	41419	56341	55697	67370	56089	65922	45970	63903	30096	39933	43344	45301	30984	58548	42556	51307	49397
55918	58341	42705	50371	51772	46498	60279	52104	48501	23872	52823	71222	62121	47778	70650	49410	42316	58168	37208	40053	44143	47991	64504	57980	41281	27927	51568	40941	39093	44896	31731	58603	54372	49864	45397	36054	50075	47947	43965	34298	47338	39471	60506	46012	68326	59002	50575	48927	61844	57957	48509	42808	37389	42211	59818	57006	38428	47086	58525	43996	55532	59031	56307	50099	34934	45248	45806	57900	31804	58740	40855	40920	44184	46791	58581	40796	30317	42346	67608	43725	48594	44840	56080	42068	56423	50975	70124	62312	61628	41544	63533	31303	45300	43481	44466	29192	52536	48074	52929	57331
47251	61379	45057	38264	52143	50612	53597	58950	48000	33920	42275	69301	55193	47489	70448	57791	46375	57410	32950	34091	42733	46602	52387	48239	49151	24182	35508	40833	39497	45289	52048	58955	54504	51545	44975	40575	51970	52152	42706	38596	40365	40776	55118	50603	60074	72748	43346	48212	46478	52329	39364	48806	48993	47411	53953	58106	40549	49945	54457	45755	65123	56803	55276	37160	32170	43044	44658	47435	39544	45811	35535	49733	41922	57754	46158	32561	32632	52726	58752	46478	53345	52975	56072	38151	52181	49284	72983	57902	62428	47867	61207	43744	49318	35293	45178	33967	48559	50342	45342	45683
65984	57023	46238	51329	54869	46101	57230	41914	47879	23726	60076	73031	62409	40707	71236	39181	51938	64313	42846	46761	48644	54390	63731	56249	33621	21341	60566	47771	34844	34022	28932	59938	51278	52465	37687	41590	35225	61593	50317	36895	41895	47882	59619	45002	76910	51134	59785	53580	72845	68146	51891	40482	32254	36368	61690	52046	44569	41143	57592	61728	57877	57554	61754	58496	47411	36143	57367	55367	20840	65198	48885	46433	46145	48523	51962	54315	26134	35461	69230	33535	51640	58376	44962	49601	61916	61147	63673	55821	65034	50542	66817	31260	48382	36542	42020	25674	53766	44527	64013	51166
58123	62780	50479	67178	43072	55995	69720	57279	51676	33818	56840	70705	70312	50790	76228	48336	44171	63306	32541	48537	43015	38395	52854	60161	36235	25034	64746	44229	36919	40075	39083	69642	73592	54757	42348	40693	50389	51885	40419	31485	41223	36654	70907	33345	78155	62770	63150	43287	69294	54484	50207	25852	39097	37607	73098	57454	24004	47751	53925	56026	63199	72765	48503	40408	47327	33656	43715	60875	29926	55110	38647	44962	45086	44229	53074	46582	21627	43231	63716	40123	46525	46563	58868	48752	65845	43893	80406	61015	47248	44157	65500	38683	60212	44961	48074	29425	39755	50736	55580	62437
53747	59390	49147	43988	55194	52026	55927	50227	48389	32964	47459	69205	60460	47316	71787	52365	50065	61206	35388	42085	45019	45907	53661	50416	41758	20202	48383	45099	35567	38966	43888	64623	56098	52645	44080	42147	44526	56148	45410	41210	40493	43434	56569	45803	68272	64239	50241	47818	58473	59962	44504	41778	43164	43686	58825	55050	39997	49342	55531	57950	66117	59584	57270	43350	39596	38313	48164	49154	28550	50066	40091	49901	42278	56296	46839	40683	28077	44388	61981	40769	50631	58542	49945	43959	56257	53489	70782	55002	62766	49583	64310	38892	51646	36631	46820	29740	49770	46905	54557	44925
52698	58844	46328	43941	55667	52721	58087	49771	49472	30868	50171	69538	66321	53104	71686	55732	48753	59494	34496	36843	46969	43141	62277	53006	40244	22894	52063	45721	38454	42116	33038	64179	49981	50673	51640	38025	46635	48622	53262	37309	45240	40073	54014	45847	67320	60652	51008	44372	60772	66779	47509	43947	42198	43399	55414	58742	37944	50517	59701	52146	60293	56738	57244	48753	36892	43310	44309	51223	27870	51139	37406	45037	47159	55145	53061	40100	30952	43809	61381	44872	47572	51366	51766	41664	57229	51932	70595	55416	62947	47533	64949	29670	43388	43498	47395	32134	55256	41951	53709	51035
51012	57051	42067	46676	49146	51002	62612	62137	41958	26165	50183	65822	68043	52147	68451	50706	42651	63460	34940	39328	45848	50695	64305	54935	49054	24645	47858	39767	44187	47493	38041	53249	57829	52113	46506	37932	47800	54377	47806	33220	46435	32705	63894	47407	63537	66828	55782	55349	58356	59443	51937	46981	39053	48595	63637	59715	40178	46755	58312	44727	58956	59484	51778	50073	34916	40921	47087	58669	33504	56776	47371	49559	48550	51769	49836	47488	27389	49409	59662	44225	51919	45295	58641	46228	53446	51581	67371	61684	58882	45033	58611	40842	49481	36435	39647	32497	42857	54882	53042	59075
59689	57551	45909	46722	59733	44569	55883	42247	51122	22516	52101	73501	58742	45837	71699	50343	45594	56683	39514	42727	44167	48081	65135	57216	37286	25845	53220	43547	34438	40730	28266	64264	49245	48475	47035	36109	48674	47226	44178	41352	48055	45905	55255	48030	70954	53725	45452	47182	64083	61165	47116	43765	36321	41650	56481	53728	42198	49391	60719	49845	56932	56979	63000	52183	34927	47875	46799	54518	26829	58279	40202	39145	40393	48669	62176	37596	32378	36523	73401	42458	47496	52007	50844	41311	55964	55452	69314	60482	68698	42211	67213	25649	42021	45827	48609	26149	61673	43080	55917	49784
58697	59388	49120	56517	51750	51916	62097	47954	50188	30331	51115	71824	66746	50820	72664	48867	43564	58164	33386	46624	44406	41765	57686	59102	35863	23651	59275	44299	35451	41025	33366	66944	63292	51816	45679	36220	45865	52471	41514	35141	47034	39369	64312	38590	73530	56086	55159	44467	64114	59035	49012	33667	37710	40114	64640	55854	30328	46768	57540	53823	60097	66443	55718	45934	41825	40177	45008	58010	23917	57147	41218	39224	43467	44865	54409	43401	23585	35820	65863	41272	45271	49754	54280	46182	59744	45577	71648	59782	54894	44198	64386	30153	49160	42790	48649	28187	48070	45698	54143	56503
53570	53642	39702	36991	58165	44865	54002	48008	42766	20747	50815	67368	63927	49416	65307	48108	46154	60462	38727	35090	49297	54585	71994	54134	43413	22881	47818	43391	41270	44484	24646	51557	40602	48430	49795	34894	39998	51975	55334	36092	49174	38912	52108	51077	62636	55582	49909	53963	60780	70215	50946	52944	36551	45913	52648	56397	48285	45023	62022	46479	53402	48672	59501	59712	32501	46811	50905	53935	24551	60110	47231	45220	48032	53633	53985	46190	31877	41408	62361	41318	49392	49242	49392	42872	51119	58384	57848	56599	69345	45494	60449	27811	36633	38009	40118	30088	56467	44465	55416	51920
71454	50767	41234	41965	52550	42651	53772	42579	40339	15577	58766	72596	57186	33026	68888	39982	49604	57748	45983	47269	41276	58043	65825	46410	37372	24002	49056	37586	35240	29080	35422	49354	45543	48446	27114	40857	39338	66448	47803	37161	39812	47891	62748	59020	69287	50224	56222	63081	62747	59367	54359	53296	19835	39300	57490	52030	51430	36349	56504	50924	51368	54166	68156	62956	43214	30820	52951	53002	32664	64570	54912	41083	48089	42091	47709	55923	26476	34775	75717	41406	61177	57712	45035	49327	56465	63711	62417	60192	65692	54509	63733	33268	42459	26566	32310	25959	54158	48024	63821	48904
48699	60865	42607	39424	51623	50018	54757	56928	47672	32772	48584	69357	58235	46428	69876	52055	50083	61720	36758	32496	47928	50989	57340	49734	46913	23933	40615	44292	41109	44884	45492	55234	49423	53305	43399	42826	44190	55567	50459	34991	40055	42293	53671	49756	62923	69231	50218	50170	54590	61818	42757	48522	47492	43549	53191	58929	44504	47052	54601	49763	62835	53308	54847	45474	36123	41190	51084	48477	34877	51808	38090	52332	46775	59352	44995	40512	32584	52363	56665	42559	53476	53202	51770	39986	55537	54630	68249	54869	64799	50350	62470	41515	48954	34458	42268	33913	49493	48060	51092	48173
59596	64560	42949	51945	45569	48348	57393	58597	48663	31919	58885	75108	60149	40882	71216	39517	52100	67301	39524	37545	51920	59420	58663	57070	42231	23842	50268	48796	42676	42078	43912	52228	56667	57101	35401	44224	35899	67500	51291	27613	37864	45088	62895	44682	72566	65772	63748	56397	63313	63849	46600	44154	45139	37484	61679	57414	42914	36745	53896	55908	61100	57860	55130	50331	49068	36104	62640	55707	31005	65057	46764	54385	50897	52885	43272	55147	27549	49708	57828	33685	57210	55105	52796	48200	64082	55940	65337	56719	59173	54714	63023	45281	53922	29987	38362	33768	43331	51804	54587	56921
60790	56423	39866	36360	58705	39825	47690	45694	43269	20756	52792	73182	55102	39179	64728	38398	50155	62633	43160	37448	52120	66552	68826	55094	42954	21363	43927	46558	40281	41768	31928	46545	40701	51312	39529	38194	31016	66102	52192	35842	45548	47561	53678	53581	65860	55262	51955	61790	59824	69067	47872	56209	38231	42988	52570	52610	55571	36665	59716	52311	55371	47329	64720	61359	39213	44728	64161	53210	22885	68689	54043	49032	46643	53511	48227	52483	30829	39833	64140	33571	55807	58699	45865	46160	53061	63417	51824	56260	72776	51556	60677	34473	39637	27860	36919	29051	55241	47643	56274	47985
53824	66395	45983	42716	47259	53528	52785	57707	52324	40471	51470	74957	56048	42845	73782	52259	55880	61263	35170	31298	48101	49035	49693	47383	42664	22858	41178	48389	39839	39216	54701	59330	52666	55639	38552	46079	42628	61866	52779	31868	32830	47426	54834	48352	67253	71853	54750	47319	52322	60803	38785	46488	51754	38369	52461	59529	39821	42866	51817	55744	65982	56011	56678	39530	45525	35373	53289	44474	38088	49490	34226	53667	49408	59367	38750	42101	31742	54197	54376	41425	57647	59220	51322	40929	62955	51993	73568	52077	59297	58742	65146	45200	51507	31225	43026	37548	48170	45351	48605	46658
53276	58113	44997	54902	43628	53428	65780	60463	44659	29717	52956	65941	67320	48769	71477	48961	43624	62868	34275	43618	42384	43798	55739	53344	43373	24649	53299	39491	39890	41651	42111	58931	64991	53036	40090	41168	48981	53986	43019	32119	40547	34276	67202	41888	68701	65935	59298	50116	62099	54173	50544	36570	36896	42395	67468	58046	33044	46675	53268	49614	60921	65095	48743	44091	40612	33136	44068	57425	34595	53311	42427	48271	46632	47897	47627	47097	23837	47820	60581	42650	50764	45896	57135	46854	58542	48427	74128	60155	51963	45470	61020	42482	56564	37483	41068	30545	38738	53568	54933	58517
